year,month,month_number,line,users
2018,july,7,6,779274
2018,july,7,7,285607
2018,july,7,8,148715
2018,july,7,9,310462
2018,july,7,10,566321
2018,july,7,11,41099
2018,july,7,12,230868
2018,july,7,R,48503
2018,august,8,1,529738
2018,august,8,2,193233
2018,august,8,3,366026
2018,august,8,4,215687
2018,august,8,5,396417
2018,august,8,6,577681
2018,august,8,7,201233
2018,august,8,8,108813
2018,august,8,9,163071
2018,august,8,10,409040
2018,august,8,11,32398
2018,august,8,12,92977
2018,august,8,R,36017
2018,september,9,1,745988
2018,september,9,2,350965
2018,september,9,3,547890
2018,september,9,4,347841
2018,september,9,5,551587
2018,september,9,6,909143
2018,september,9,7,347415
2018,september,9,8,158651
2018,september,9,9,357033
2018,september,9,10,623247
2018,september,9,11,44925
2018,september,9,12,160413
2018,september,9,R,51731
2018,october,10,1,875191
2018,october,10,2,412945
2018,october,10,3,643074
2018,october,10,4,415582
2018,october,10,5,647419
2018,october,10,6,1063920
2018,october,10,7,443344
2018,october,10,8,184666
2018,october,10,9,430482
2018,october,10,10,730234
2018,october,10,11,51671
2018,october,10,12,268642
2018,october,10,R,59013
2018,november,11,1,847333
2018,november,11,2,404117
2018,november,11,3,622240
2018,november,11,4,396567
2018,november,11,5,625628
2018,november,11,6,997734
2018,november,11,7,423721
2018,november,11,8,170244
2018,november,11,9,405659
2018,november,11,10,684324
2018,november,11,11,49468
2018,november,11,12,325143
2018,november,11,R,56984
2018,december,12,1,820510
2018,december,12,2,414579
2018,december,12,3,607188
2018,december,12,4,368001
2018,december,12,5,612742
2018,december,12,6,891538
2018,december,12,7,373622
2018,december,12,8,158572
2018,december,12,9,371429
2018,december,12,10,637550
2018,december,12,11,47882
2018,december,12,12,294386
2018,december,12,R,60877
2019,january,1,1,835660
2019,january,1,2,381446
2019,january,1,3,602378
2019,january,1,4,398666
2019,january,1,5,618360
2019,january,1,6,942461
2019,january,1,7,406284
2019,january,1,8,182614
2019,january,1,9,398707
2019,january,1,10,671125
2019,january,1,11,48953
2019,january,1,12,317446
2019,january,1,R,56111
2019,february,2,1,812843
2019,february,2,2,307562
2019,february,2,3,586909
2019,february,2,4,385278
2019,february,2,5,611216
2019,february,2,6,968146
2019,february,2,7,412806
2019,february,2,8,169149
2019,february,2,9,390094
2019,february,2,10,671244
2019,february,2,11,47347
2019,february,2,12,311835
2019,february,2,R,53309
2019,march,3,1,877023
2019,march,3,2,327925
2019,march,3,3,630977
2019,march,3,4,404631
2019,march,3,5,660506
2019,march,3,6,1026287
2019,march,3,7,433204
2019,march,3,8,181535
2019,march,3,9,418358
2019,march,3,10,723269
2019,march,3,11,51409
2019,march,3,12,336942
2019,march,3,R,57505
2019,april,4,1,808527
2019,april,4,2,277281
2019,april,4,3,576330
2019,april,4,4,363310
2019,april,4,5,596731
2019,april,4,6,918197
2019,april,4,7,388830
2019,april,4,8,161923
2019,april,4,9,370898
2019,april,4,10,649379
2019,april,4,11,46255
2019,april,4,12,299276
2019,april,4,R,52209
2019,may,5,1,840089
2019,may,5,2,279934
2019,may,5,3,608191
2019,may,5,4,372678
2019,may,5,5,642747
2019,may,5,6,948727
2019,may,5,7,400356
2019,may,5,8,168273
2019,may,5,9,384981
2019,may,5,10,674714
2019,may,5,11,48051
2019,may,5,12,313648
2019,may,5,R,54704
2019,june,6,1,820026
2019,june,6,2,378954
2019,june,6,3,584219
2019,june,6,4,367103
2019,june,6,5,607105
2019,june,6,6,913206
2019,june,6,7,393887
2019,june,6,8,162812
2019,june,6,9,385862
2019,june,6,10,670173
2019,june,6,11,47025
2019,june,6,12,303606
2019,june,6,R,55371
2019,july,7,1,745101
2019,july,7,2,341571
2019,july,7,3,535810
2019,july,7,4,321651
2019,july,7,5,546243
2019,july,7,6,827310
2019,july,7,7,343451
2019,july,7,8,146782
2019,july,7,9,327775
2019,july,7,10,603598
2019,july,7,11,42601
2019,july,7,12,260503
2019,july,7,R,52416
2019,august,8,1,545360
2019,august,8,2,248609
2019,august,8,3,399098
2019,august,8,4,203482
2019,august,8,5,401429
2019,august,8,6,581971
2019,august,8,7,223997
2019,august,8,8,110259
2019,august,8,9,214167
2019,august,8,10,420837
2019,august,8,11,32767
2019,august,8,12,191625
2019,august,8,R,39082
2019,september,9,1,791695
2019,september,9,2,372797
2019,september,9,3,582777
2019,september,9,4,344020
2019,september,9,5,579707
2019,september,9,6,958539
2019,september,9,7,388023
2019,september,9,8,165385
2019,september,9,9,376111
2019,september,9,10,655032
2019,september,9,11,45016
2019,september,9,12,313078
2019,september,9,R,54385
2019,october,10,1,927925
2019,october,10,2,433341
2019,october,10,3,685642
2019,october,10,4,418944
2019,october,10,5,678852
2019,october,10,6,1120116
2019,october,10,7,458892
2019,october,10,8,190130
2019,october,10,9,449612
2019,october,10,10,774098
2019,october,10,11,52518
2019,october,10,12,361956
2019,october,10,R,62679
2019,november,11,1,891300
2019,november,11,2,422669
2019,november,11,3,662379
2019,november,11,4,404155
2019,november,11,5,654714
2019,november,11,6,1046526
2019,november,11,7,429499
2019,november,11,8,171301
2019,november,11,9,422253
2019,november,11,10,720693
2019,november,11,11,51064
2019,november,11,12,341868
2019,november,11,R,59720
2019,december,12,1,846997
2019,december,12,2,430190
2019,december,12,3,627105
2019,december,12,4,370103
2019,december,12,5,628823
2019,december,12,6,919839
2019,december,12,7,381609
2019,december,12,8,164634
2019,december,12,9,378261
2019,december,12,10,641360
2019,december,12,11,49080
2019,december,12,12,305308
2019,december,12,R,60966
2020,january,1,1,862473
2020,january,1,2,425283
2020,january,1,3,630981
2020,january,1,4,123228
2020,january,1,5,645047
2020,january,1,6,1006082
2020,january,1,7,428265
2020,january,1,8,193454
2020,january,1,9,428425
2020,january,1,10,686953
2020,january,1,11,50413
2020,january,1,12,329827
2020,january,1,R,56675
2020,february,2,1,865628
2020,february,2,2,429690
2020,february,2,3,634468
2020,february,2,4,
2020,february,2,5,650576
2020,february,2,6,1057211
2020,february,2,7,449086
2020,february,2,8,204216
2020,february,2,9,444857
2020,february,2,10,710083
2020,february,2,11,50214
2020,february,2,12,337492
2020,february,2,R,56597
2020,march,3,1,376661
2020,march,3,2,167693
2020,march,3,3,270380
2020,march,3,4,61372
